game_id,season,game_type,game_date,start_time_utc,eastern_utc_offset,game_state,venue,home_abbrev,away_abbrev,home_score,away_score,winner_abbrev,loser_abbrev,goal_diff
2024020165,20242025,2,2024-10-31,2024-10-31T23:00:00Z,-04:00,OFF,Lenovo Center,CAR,BOS,8.0,2.0,CAR,BOS,6.0
2024020166,20242025,2,2024-10-31,2024-11-01T00:00:00Z,-04:00,OFF,Bridgestone Arena,NSH,EDM,1.0,5.0,EDM,NSH,4.0
2024020167,20242025,2,2024-10-31,2024-11-01T02:30:00Z,-04:00,OFF,SAP Center at San Jose,SJS,CHI,3.0,2.0,SJS,CHI,1.0
2024020168,20242025,2,2024-11-01,2024-11-01T18:00:00Z,-04:00,OFF,Nokia Arena,DAL,FLA,4.0,6.0,FLA,DAL,2.0
2024020169,20242025,2,2024-11-01,2024-11-01T23:00:00Z,-04:00,OFF,KeyBank Center,BUF,NYI,3.0,4.0,NYI,BUF,1.0
2024020170,20242025,2,2024-11-01,2024-11-01T23:00:00Z,-04:00,OFF,Madison Square Garden,NYR,OTT,2.0,1.0,NYR,OTT,1.0
2024020171,20242025,2,2024-11-01,2024-11-01T23:00:00Z,-04:00,OFF,Nationwide Arena,CBJ,WPG,2.0,6.0,WPG,CBJ,4.0
2024020172,20242025,2,2024-11-01,2024-11-02T00:00:00Z,-04:00,OFF,Xcel Energy Center,MIN,TBL,5.0,3.0,MIN,TBL,2.0
2024020173,20242025,2,2024-11-01,2024-11-02T01:00:00Z,-04:00,OFF,Scotiabank Saddledome,CGY,NJD,3.0,0.0,CGY,NJD,3.0
2024020174,20242025,2,2024-11-02,2024-11-02T16:00:00Z,-04:00,OFF,Nokia Arena,FLA,DAL,4.0,2.0,FLA,DAL,2.0
2024020175,20242025,2,2024-11-02,2024-11-02T17:00:00Z,-04:00,OFF,Wells Fargo Center,PHI,BOS,0.0,3.0,BOS,PHI,3.0
2024020176,20242025,2,2024-11-02,2024-11-02T20:00:00Z,-04:00,OFF,Crypto.com Arena,LAK,CHI,3.0,4.0,CHI,LAK,1.0
2024020177,20242025,2,2024-11-02,2024-11-02T21:00:00Z,-04:00,OFF,Capital One Arena,WSH,CBJ,7.0,2.0,WSH,CBJ,5.0
2024020178,20242025,2,2024-11-02,2024-11-02T23:00:00Z,-04:00,OFF,Canadian Tire Centre,OTT,SEA,3.0,0.0,OTT,SEA,3.0
2024020179,20242025,2,2024-11-02,2024-11-02T23:00:00Z,-04:00,OFF,Little Caesars Arena,DET,BUF,2.0,1.0,DET,BUF,1.0
2024020180,20242025,2,2024-11-02,2024-11-02T23:00:00Z,-04:00,OFF,PPG Paints Arena,PIT,MTL,3.0,1.0,PIT,MTL,2.0
2024020181,20242025,2,2024-11-02,2024-11-02T23:00:00Z,-04:00,OFF,Enterprise Center,STL,TOR,4.0,2.0,STL,TOR,2.0
2024020182,20242025,2,2024-11-02,2024-11-03T00:00:00Z,-04:00,OFF,Bridgestone Arena,NSH,COL,5.0,2.0,NSH,COL,3.0
2024020183,20242025,2,2024-11-02,2024-11-03T02:00:00Z,-04:00,OFF,T-Mobile Arena,VGK,UTA,4.0,3.0,VGK,UTA,1.0
2024020184,20242025,2,2024-11-02,2024-11-03T02:00:00Z,-04:00,OFF,SAP Center at San Jose,SJS,VAN,2.0,3.0,VAN,SJS,1.0
2024020185,20242025,2,2024-11-03,2024-11-03T18:00:00Z,-05:00,OFF,Madison Square Garden,NYR,NYI,5.0,2.0,NYR,NYI,3.0
2024020186,20242025,2,2024-11-03,2024-11-03T20:00:00Z,-05:00,OFF,Canada Life Centre,WPG,TBL,7.0,4.0,WPG,TBL,3.0
2024020187,20242025,2,2024-11-03,2024-11-03T22:00:00Z,-05:00,OFF,TD Garden,BOS,SEA,2.0,0.0,BOS,SEA,2.0
2024020188,20242025,2,2024-11-03,2024-11-03T22:00:00Z,-05:00,OFF,Lenovo Center,CAR,WSH,4.0,2.0,CAR,WSH,2.0
2024020189,20242025,2,2024-11-03,2024-11-03T23:00:00Z,-05:00,OFF,Xcel Energy Center,MIN,TOR,2.0,1.0,MIN,TOR,1.0
2024020190,20242025,2,2024-11-03,2024-11-04T01:00:00Z,-05:00,OFF,Scotiabank Saddledome,CGY,EDM,2.0,4.0,EDM,CGY,2.0
2024020191,20242025,2,2024-11-03,2024-11-04T01:00:00Z,-05:00,OFF,Honda Center,ANA,CHI,2.0,4.0,CHI,ANA,2.0
2024020192,20242025,2,2024-11-04,2024-11-05T01:00:00Z,-05:00,OFF,Bridgestone Arena,NSH,LAK,0.0,3.0,LAK,NSH,3.0
2024020193,20242025,2,2024-11-04,2024-11-05T01:30:00Z,-05:00,OFF,Rogers Place,EDM,NJD,0.0,3.0,NJD,EDM,3.0
